,ingredient,category,description,rating,rating_num
1101,nasturtium officinale extract,"antioxidants, plant extracts",,Average,1.0
1102,natto gum,"antioxidants, plant extracts",Fermentation product of soy protein. It may be a potent antioxidant (Source: Journal of...,Good,3.0
1103,natural moisturizing factor (nmf),skin-replenishing,One of the primary elements in keeping skin feeling and looking healthier…,Best,5.0
1104,neem extract,"plant extracts, antioxidants",Neem extract has antioxidant and skin-calming benefits and may also help reduce the population of harmful microbes on skin’s surface.,Best,5.0
1105,neem oil,"plant extracts, sensitizing",Neem oil contains a chemical known as nimbidin that gives it a sulfur-like odor.,Poor,-1.0
1106,neopentyl glycol dicaprylate/dicaprate,"texture enhancer, emollients",Used as an emollient and texture enhancer.,Good,3.0
1107,neopentyl glycol diheptanoate,"texture enhancer, skin-softening",Mixture of texture-enhancing ingredient neopentyl glycol and grape-derived fatty acid heptanoic acid...,Good,3.0
1108,neroli,"plant extracts, sensitizing, fragrance: synthetic and fragrant plant extracts",,Poor,-1.0
1109,neroli oil,"plant extracts, fragrance: synthetic and fragrant plant extracts, sensitizing",Fragrant plant oil that can be a skin sensitizer...,Poor,-1.0
1110,nettle extract,"skin-soothing, plant extracts",Extract that may have soothing properties...,Average,1.0
1111,n-hydroxysuccinimide,skin-softening,N-hydroxysuccinimide is a synthetic ingredient used in cosmetics as an ester to soften and condition skin.,Best,5.0
1112,niacin,"skin-restoring, vitamins",,Best,5.0
1113,niacinamide,"skin-soothing, skin-restoring, antioxidants, vitamins","Also known as vitamin B3 and nicotinic acid, niacinamide is a very effective skin-restoring ingredient...",Best,5.0
1114,nicotinamide,"skin-restoring, vitamins",,Best,5.0
1115,nicotinic acid,"skin-restoring, vitamins",,Best,5.0
1116,noni juice,"skin-soothing, plant extracts, antioxidants","Also known as morinda or Morinda citrifolia, comes from a small evergreen tree. The juice from this...",Good,3.0
1117,nonoxynols,cleansing agents,Used as a mild cleansing agent.,Good,3.0
1118,nylon-12,"texture enhancer, absorbent",Powder substance that is used as an absorbent and texture enhancer...,Good,3.0
1119,nymphaea tetragona,"antioxidants, plant extracts",Also known as pygmy waterlily. The stem has been shown to be an antioxidant...,Best,5.0
1120,oak root extract,"plant extracts, sensitizing, antioxidants",Extract that can be a skin sensitizer.,Poor,-1.0
1121,oat beta-glucan,"skin-soothing, antioxidants",,Best,5.0
1122,oat bran extract,"skin-soothing, antioxidants, plant extracts",Oat bran extract is a portion of the oat plant that contains antioxidant and soothing properties...,Best,5.0
1123,oat kernel extract,"skin-soothing, plant extracts",,Best,5.0
1124,oatmeal,"skin-soothing, plant extracts",Can have skin-soothing properties…,Best,5.0
1125,octinoxate,sunscreen actives,Also known as octyl methoxycinnamate and ethylhexyl methoxycinnamate…,Average,1.0
1126,octisalate,sunscreen actives,Technical name for the active sunscreen ingredient octyl salicylate (also known as ethylhexyl...,Best,5.0
1127,octocrylene,sunscreen actives,Globally-approved sunscreen agent that protects skin from the UVB range of sunlight.,Average,1.0
1128,octyldodecanol,"texture enhancer, emollients","Opacifying agent, used primarily as a texture enhancer in moisturizers because of its lubricating and emollient properties.",Average,1.0
1129,octyldodecyl myristate,"texture enhancer, skin-softening, emollients",Mixture of octyldodecanol (thickener) and myristic acid that forms a new compound used as a...,Average,1.0
1130,octyldodecyl neopentanoate,"emollients, skin-softening",Skin-softening agent and emollient.,Average,1.0
1131,octyl methoxycinnamate,sunscreen actives,Sunscreen agent used to protect skin primarily from the sun’s UVB rays…,Average,1.0
1132,octyl palmitate,"texture enhancer, emollients",Used in cosmetics as a texture enhancer and emollient.,Average,1.0
1133,octyl salicylate,sunscreen actives,Sunscreen agent used to protect skin primarily from the sun’s UVB rays...,Average,1.0
1134,octyl stearate,"texture enhancer, emollients",Used in cosmetics as a texture enhancer and emollient.,Average,1.0
1135,o-cymen-5-ol,preservatives,Preservative used in cosmetics.,Good,3.0
1136,oenothera biennis oil,"skin-soothing, emollients, plant extracts",,Best,5.0
1137,olea europaea fruit oil,"antioxidants, emollients, plant extracts, skin-replenishing",,Good,3.0
1138,olea europaea oil unsaponifiables,"antioxidants, plant extracts, skin-replenishing, emollients",An unsaponifiable oil is the portion of a plant oil that is not broken down when the oil's fatty...,Best,5.0
1139,oleanolic acid,"skin-soothing, antioxidants","A skin-soothing ingredient, especially when used in synthetic rather than natural form...",Best,5.0
1140,oleic acid,"cleansing agents, texture enhancer","Oleic acid is a natural, monounsaturated omega-9 fatty acid that’s found in many plants.",Best,5.0
1141,oleth-10,"texture enhancer, cleansing agents",A form of fatty alcohol that functions as a texture enhancer and cleansing agent.,Good,3.0
1142,oleths,cleansing agents,Mild cleansing agents.,Good,3.0
1143,oleyl erucate,skin-softening,"Skin-softening agent derived from oleyl alcohol, which is obtained chiefly from fish oil.",Good,3.0
1144,olibanum extract,"fragrance: synthetic and fragrant plant extracts, sensitizing",,Poor,-1.0
1145,olive oil/olive fruit oil,"antioxidants, plant extracts, skin-replenishing, emollients",Emollient plant oil similar to many other non-fragrant plant oils. The concept of olive oil having...,Good,3.0
1146,optunia ficus-indica stem extract,"antioxidants, plant extracts",A type of cactus also known as prickly pear whose stem is a bountiful source of antioxidant compounds known as polyphenols.,Best,5.0
1147,orange blossom,"plant extracts, sensitizing, fragrance: synthetic and fragrant plant extracts",Fragrant extract that can also be a skin sensitizer.,Poor,-1.0
1148,orbignya martiana,"plant extracts, emollients",,Good,3.0
1149,orbignya oleifera seed oil,"plant extracts, emollients, antioxidants","Orbignya oleifera seed oil is more commonly known as babassu oil, a non-fragrant nut oil that smooths and softens skin as well as being a good antioxidant.",Best,5.0
1150,orchid,"plant extracts, fragrance: synthetic and fragrant plant extracts, sensitizing",Fragrant flower that can be a skin sensitizer.,Poor,-1.0
1151,oregano,"plant extracts, sensitizing, fragrance: synthetic and fragrant plant extracts","Has beneficial properties, but can also be a skin sensitizer.",Poor,-1.0
1152,origanum majorana,"plant extracts, sensitizing, fragrance: synthetic and fragrant plant extracts",,Poor,-1.0
1153,origanum vulgare flower extract,"plant extracts, sensitizing",,Poor,-1.0
1154,orris root,"plant extracts, sensitizing, fragrance: synthetic and fragrant plant extracts",Used primarily as a fragrant component due to its violet-like scent (Source:...,Poor,-1.0
1155,oryzanol,"antioxidants, plant extracts","Component of plants and their products, such as rice bran, that has potent antioxidant properties.",Best,5.0
1156,oryza sativa (rice) bran extract,skin-softening,Oryza sativa (rice) bran extract is a plant ingredient used in cosmetics to condition and soften skin.,Best,5.0
1157,oryza sativa cera,skin-softening,"A natural, non-fragrant wax obtained from rice bran. It functions as a skin-softening agent...",Best,5.0
1158,oryza sativa oil,"plant extracts, emollients",,Good,3.0
1159,oxidoreductase,antioxidants,Large group of enzymes that block oxygen in different forms from generating environmental damage.,Best,5.0
1160,oxybenzone,sunscreen actives,Oxybenzone (also known as benzophenone-3) is a sunscreen agent that protects primarily from the...,Average,1.0
1161,ozokerite,texture enhancer,"Mineral that is used as a texture enhancer in cosmetics, especially in lipsticks and stick...",Good,3.0
1162,p. elisabethae,"skin-soothing, antioxidants",The “P.” is short for the genus Pseudopterogorgia.,Good,3.0
1163,paba,sunscreen actives,,Poor,-1.0
1164,padimate o,sunscreen actives,"Sunscreen agent that protects skin primarily from the sun’s UVB rays (Source: Skin Therapy Letter,...",Average,1.0
1165,padina pavonica extract,"antioxidants, emollients, plant extracts",,Good,3.0
1166,paeonia albiflora extract,plant extracts,,Average,1.0
1167,paeonia suffruticosa extract,"antioxidants, plant extracts",,Average,1.0
1168,palmaria palmata extract,"antioxidants, plant extracts, emollients",Extract from a type of algae whose common name is dulse.,Good,3.0
1169,palmarosa oil,plant extracts,,Poor,-1.0
1170,palmitic acid,"emollients, skin-replenishing, cleansing agents",Blend of the fatty acid palmitic acid with several amino acids…,Good,3.0
1171,palmitoyl dipeptide-10,skin-restoring,,Best,5.0
1172,palmitoyl hexapeptide-12,skin-restoring,Blend of the fatty acid palmitic acid with several amino acids…,Best,5.0
1173,palmitoyl oligopeptide,skin-restoring,"A blend of palmitic acid (a fatty acid) with several amino acids, including alanine, arginine,...",Best,5.0
1174,palmitoyl pentapeptide-4,skin-restoring,"Trade name Matrixyl, a fatty acid mixed with amino acids. The only research showing this has any...",Best,5.0
1175,palmitoyl proline,"skin-softening, hydration",Palmitoyl proline combines fatty acid palmitic acid with the amino acid proline.,Best,5.0
1176,palmitoyl tetrapeptide-7,skin-restoring,A synthetic peptide whose trade name is Matrixyl 3000…,Best,5.0
1177,palmitoyl tripeptide-1,skin-restoring,Palmitoyl tripeptide-1 is a synthetic fatty acid-linked peptide that can help repair visible skin damage and strengthen skin’s underlying supportive elements.,Best,5.0
1178,palmitoyl tripeptide-38,skin-restoring,An ingredient manufactured by the brand Sederma under the trade name MATRIXYL synthe’6...,Best,5.0
1179,palmitoyl tripeptide-5,skin-restoring,A synthetic peptide that is believed to play a role in the appearance of skin firmness...,Best,5.0
1180,palmitoyl tripeptide-8,skin-restoring,,Best,5.0
1181,palm kernel acid,"emollients, cleansing agents","A mixture of fatty acids derived from palm oil. Used as a cleansing agent, emulsifier, or to add...",Good,3.0
1182,palm oil,"antioxidants, skin-replenishing, emollients",Has emollient and antioxidant properties for skin.,Best,5.0
1183,panax ginseng root extract,"antioxidants, plant extracts","Ginseng is a popular herbal supplement. When applied topically it delivers antioxidant benefits, boosts hydration, and helps visibly improve signs of skin aging.",Best,5.0
1184,panicum miliaceum,plant extracts,,Average,1.0
1185,pansy extract,"skin-soothing, antioxidants, plant extracts",Extract for which there is a small amount of research showing it has skin soothing and...,Average,1.0
1186,pantethine,vitamins,Also known as pantothenic acid.,Good,3.0
1187,panthenol,vitamins,Alcohol form of the B vitamin pantothenic acid.,Best,5.0
1188,pantothenic acid,vitamins,"Also called vitamin B5, and often touted for a variety of benefits to skin. However, there is only one...",Best,5.0
1189,papain,"plant extracts, exfoliant","Enzyme extracted from papaya. Applied topically, papain can aggravate skin...",Poor,-1.0
1190,papaya extract,"plant extracts, exfoliant","Extract that is the source of papain, which theoretically can have exfoliating properties on skin,...",Average,1.0
1191,para-aminobenzoic acid (paba),sunscreen actives,Sunscreen ingredient rarely used since the 1990s because of strong potential for sensitizing reactions.,Poor,-1.0
1192,parabens,preservatives,"Group of preservatives, including butylparaben, propylparaben, methylparaben, and ethylparaben,...",Poor,-1.0
1193,paraffin,texture enhancer,"Waxy, petroleum-based substance used as a thickener in cosmetics.",Good,3.0
1194,paraffinum liquidum,emollients,"The Latin name for emollient ingredient mineral oil, also known as liquid paraffin.",Good,3.0
1195,parsol 1789,sunscreen actives,,Best,5.0
1196,passiflora edulis extract,plant extracts,The layperson term for this Brazilian-based plant oil is passion fruit…,Good,3.0
1197,passiflora edulis seed oil,"skin-soothing, antioxidants, plant extracts","Non-fragrant plant oil from the passion fruit plant, and a rich source of fatty acids and antioxidants...",Best,5.0
1198,passion fruit extract,plant extracts,There is no research showing this has any benefit for skin.,Good,3.0
1199,patchouli,"plant extracts, fragrance: synthetic and fragrant plant extracts",Fragrant oil derived from mint. It contains eugenol and can aggravate skin.,Poor,-1.0
1200,pawpaw extract,"plant extracts, exfoliant",,Average,1.0
1201,pca,hydration,"PCA (which stands for pyrrolidone carboxylic acid), is an ingredient derived from amino acids that serves as a humectant and is part of the natural moisturizing factor.",Good,3.0
1202,peanut oil,"plant extracts, emollients",Emollient plant oil similar to all nonfragrant plant oils.,Good,3.0
1203,pecan oil,"plant extracts, emollients",Emollient plant oil similar to all nonfragrant plant oils.,Good,3.0
1204,pectin,"plant extracts, texture enhancer, emollients","Natural substance found in plants, especially apples, and used in cosmetics as an emulsifier and...",Good,3.0
1205,peg,"cleansing agents, emollients",PEG is the acronym for polyethylene glycol. Various forms of PEG compounds are mixed with fatty...,Good,3.0
1206,peg/ppg-17/6 copolymer,"cleansing agents, emollients",PEG stands for polyethylene glycol; PPG stands for polypropylene glycol.,Good,3.0
1207,peg/ppg-18/18 dimethicone,"silicones, emollients, cleansing agents",PEG stands for polyethylene glycol; PPG stands for polypropylene glycol.,Good,3.0
1208,peg/ppg-18/4 copolymer,uncategorized,A synthetic polymer compound that functions as a solvent.,Good,3.0
1209,peg/ppg-20/15 dimethicone,"silicones, cleansing agents, emollients",PEG stands for polyethylene glycol; PPG stands for polypropylene glycol.,Good,3.0
1210,peg-100 stearate,"emollients, cleansing agents",,Good,3.0
1211,peg-10 dimethicone,"silicones, emollients, cleansing agents",,Good,3.0
1212,peg-10 dimethicone/vinyl dimethicone crosspolymer,"silicones, cleansing agents, emollients","A synthetic, silicone-enhanced polymer that helps products adhere…",Good,3.0
1213,peg-10 phytosterol,"cleansing agents, emulsifiers",A synthetic or soy-derived (Paula’s Choice Skincare uses the latter) ingredient used in cosmetics as a cleansing agent and emulsifier.,Good,3.0
1214,peg-10 rapeseed sterol,"cleansing agents, emollients",A blend of polyethylene glycol (PEG) and the fatty acid component of the rapeseed plant. Used as a...,Good,3.0
1215,peg-120 methyl glucose dioleate,cleansing agents,,Good,3.0
1216,peg-12 dimethicone,"silicones, cleansing agents, emollients",,Good,3.0
1217,peg-12 glyceryl dimyristate,"hydration, skin-replenishing",A skin-replenishing ingredient that is a polymer of ethylene oxide.,Good,3.0
1218,peg-14,uncategorized,A synthetic ingredient that functions as a humectant and solvent. With any PEG...,Good,3.0
1219,peg-150 distearate,texture enhancer,,Good,3.0
1220,peg-20 methyl glucose sesquistearate,"cleansing agents, emollients","A complex mixture of a glycol with a fatty acid and glucose that funtions multiple ways: emollient,...",Good,3.0
1221,peg-32,texture enhancer,"Peg-32 also functions as an emulsifier, which is a type of ingredient that keeps unlike substances...",Good,3.0
1222,peg-33,uncategorized,The synthetic polymer of ethylene oxide used as a binding agent and humectant. With any PEG...,Good,3.0
1223,peg-40 hydrogenated castor oil,"plant extracts, emollients, texture enhancer",Emollient ingredient that is a mixture of polyethylene glycol (PEG) with castor oil.,Good,3.0
1224,peg-40 stearate,cleansing agents,"PEG-40 stearate typically functions as a cleansing agent, but also helps keep ingredients...",Good,3.0
1225,peg-60 almond glycerides,emollients,The polyethylene glycol derivative of fatty acids from almond oil...,Good,3.0
1226,peg-60 hydrogenated castor oil,"plant extracts, emollients, cleansing agents",The chief function of this ingredient is cleansing agent.,Good,3.0
1227,peg-75 shea butter glycerides,skin-replenishing,An emulsifying and skin replenishing agent derived from glycerides (fatty acids)...,Good,3.0
1228,peg-75 stearate,"cleansing agents, emulsifiers, texture enhancer",PEG-75 stearate is an ester blend of polyethylene glycol and stearic acid.,Good,3.0
1229,peg-7 glyceryl cocoate,"cleansing agents, emollients",,Good,3.0
1230,peg-8,"cleansing agents, emollients",,Good,3.0
1231,peg-80 sorbitan laurate,cleansing agents,Mild surfactant.,Good,3.0
1232,peg-8 dimethicone,uncategorized,A synthetic skin and hair replenishing agent...,Good,3.0
1233,peg 90m,"cleansing agents, emollients",,Good,3.0
1234,pelargonium graveolens oil,plant extracts,,Poor,-1.0
1235,pellitory,plant extracts,Plant whose root extract can cause skin sensitivity.,Poor,-1.0
1236,pelvetia canaliculata (algae) extract,"antioxidants, hydration, plant extracts",Pelvetia canaliculata is a type of brown seaweed also known as Channeled wrack.,Best,5.0
1237,pentadecalactone,fragrance: synthetic and fragrant plant extracts,Synthetic fragrance used in cosmetics.,Poor,-1.0
1238,pentaerythrityl tetraisostearate,texture enhancer,A non-aqueous ester that functions as a thickener and binding agent...,Good,3.0
1239,pentaerythrityl tetraoctanoate,"texture enhancer, emollients",Synthetic compound as an emollient and thickening agent.,Good,3.0
1240,pentapeptide-59,skin-restoring,Pentapeptide-59 is a biomimetic peptide that contains amino acids.,Best,5.0
1241,pentapeptides,skin-restoring,"Pentapeptides are a type of peptide where the peptide has five (""penta"") amino acids. There are dozens of pentapeptides used in cosmetic products.",Best,5.0
1242,pentasodium pentetate,uncategorized,Used as a chelating agent in cosmetics to prevent various mineral components from binding together...,Good,3.0
1243,pentylene glycol,texture enhancer,A synthetic skin-replenishing agent and solvent.,Good,3.0
1244,peppermint,"plant extracts, fragrance: synthetic and fragrant plant extracts",Both the oil and the extract can have disinfectant properties...,Poor,-1.0
1245,peptides,"skin-soothing, skin-restoring","Peptides are portions of short or long-chain amino acids, and amino acids are the building blocks of protein. Skin...",Best,5.0
1246,perilla ocymoides,"skin-soothing, antioxidants, plant extracts","Also known as beefsteak plant. Like many plants, the leaves contain flavones which help the plant...",Average,1.0
1247,persea gratissima (avocado) oil,"antioxidants, emollients, plant extracts, hydration, skin-replenishing","Persea gratisima is the Latin name for avocado, and the oil from this fruit is an excellent source of skin-replenishing fatty acids",Best,5.0
1248,persicaria hydropiper,"antioxidants, plant extracts, skin-soothing",Also known as water pepper. All parts of this plant extract have been shown in vitro to be not only...,Best,5.0
1249,petitgrain mandarin,"plant extracts, fragrance: synthetic and fragrant plant extracts",,Poor,-1.0
1250,petrolatum,"skin-soothing, emollients","Vaseline is pure petrolatum, and petrolatum is a rich emollient and FDA-approved skin protectant.",Good,3.0
1251,peucedanum graveolens (dill) extract,"antioxidants, plant extracts",,Best,5.0
1252,pha,exfoliant,,Best,5.0
1253,phenoxyethanol,preservatives,Common cosmetic preservative that is considered one of the less sensitizing ones to use in...,Good,3.0
1254,phenoxyisopropanol,preservatives,Alcohol used as a solvent and preservative.,Good,3.0
1255,phenylalanine,"antioxidants, skin-replenishing",,Good,3.0
1256,phenylethyl resorcinol,antioxidants,Synthetic antioxidant often seen in skin-brightening products.,Average,1.0
1257,phenyl trimethicone,"silicones, emollients",Silicone with a drier finish than dimethicone.,Good,3.0
1258,phloretin,"antioxidants, plant extracts",A flavonoid substance derived from apples and the bark of apple trees. As for topical application...,Best,5.0
1259,phosphatidylcholine,"skin-restoring, skin-replenishing, emollients",Active ingredient in lecithin…,Best,5.0
1260,phosphatidylethanolamine,"emollients, skin-replenishing",,Best,5.0
1261,phospholipid,"emollients, skin-replenishing","Type of lipid (fat) composed of glycerol, fatty acids, and phosphate. Phospholipids are essential...",Best,5.0
1262,phosphoric acid,uncategorized,Used as a pH adjuster in cosmetics and skincare products.,Good,3.0
1263,photosensitizer,uncategorized,Ingredient that can cause the skin to have a sensitizing reaction when exposed to...,Poor,-1.0
1264,phthalates,uncategorized,Phthalates refers to a wide range of substances that are very different from one another...,Poor,-1.0
1265,phyllanthus emblica fruit extract,"skin-soothing, antioxidants, plant extracts",Extract that has antioxidant and soothing properties…,Best,5.0
1266,physalis angulata extract,"antioxidants, skin-soothing, plant extracts",This plant extract has a potent calming effect on skin.,Best,5.0
1267,phytantriol,uncategorized,Hair- and skin-conditioning agent that also has water-binding properties.,Good,3.0
1268,phytic acid,"antioxidants, plant extracts",Component of plants that has antioxidant properties.,Good,3.0
1269,phytoceramides,"skin-restoring, skin-replenishing",Phytoceramides are plant-derived ceramides.,Best,5.0
1270,phytonadione,vitamins,One form of vitamin K.,Good,3.0
1271,phytosphingosine,"preservatives, skin-replenishing, skin-restoring","Long-chain, complex fatty alcohol that functions as a water-binding agent and also has preservative...",Best,5.0
1272,phytosphingosine phosphate,"skin-restoring, skin-replenishing",Phytosphingosine phosphate is a large mix of esters derived from phytosphingosine and phosphoric acid.,Best,5.0
1273,phytosterols,"emollients, skin-replenishing, skin-soothing","Phytosterols are naturally occurring, cholesterol-like molecules found in all plant foods.",Best,5.0
1274,phytosteryl/octyldodecyl lauroyl glutamate,emollients,"Phytosteryl/octyldodecyl lauroyl glutamate, a mix of amino acids and plant-based sterols, functions in cosmetics as an emollient and skin-conditioner.",Average,1.0
1275,picea abies extract,"skin-soothing, plant extracts",Latin name for Norway spruce. Research has shown its bark...,Best,5.0
1276,pineapple extract,"plant extracts, exfoliant","Contains some antioxidant and skin-soothing properties, particularly from the enzyme bromelain it contains.",Good,3.0
1277,pinecone extract,antioxidants,"Components of this extract, specifically linolenic and linoleic acids, can have antioxidant...",Good,3.0
1278,pine oil,"plant extracts, fragrance: synthetic and fragrant plant extracts",It can aggravate skin and should never be used on abraded or chafed skin…,Poor,-1.0
1279,pinus lambertiana wood extract,plant extracts,Pine extract that may aggravate skin...,Poor,-1.0
1280,pinus sylvestris extract,antioxidants,,Good,3.0
1281,piper nigrum,plant extracts,,Poor,-1.0
1282,pistachio seed oil,"plant extracts, emollients",Emollient plant oil with uses similar to peanut oil in cosmetics.,Good,3.0
1283,pistacia vera seed oil,"plant extracts, emollients",,Good,3.0
1284,pisum sativum (pea) extract,"antioxidants, plant extracts","Pisum sativa (pea) extract has documented antioxidant ability thanks to its natural content of ellagic acid and beta-sitosterol, gallic acid, and quercetin.",Best,5.0
1285,plankton extract,plant extracts,"A marine species known as Thalasso plankton and derived from various algae, seaweed, or marine skeletons...",Good,3.0
1286,plasticizing agents,texture enhancer,Ingredients that place a thin layer of plastic over the skin. Typically these are used in facial...,Average,1.0
1287,plinia cauliflora (jabuticaba) fruit extract,"plant extracts, antioxidants","Jabuticaba is a dark berry native to Brazil and, like many berries, is a rich source of nearly a dozen polyphenolic antioxidants.",Best,5.0
1288,plum extract,"antioxidants, plant extracts",Extract of Prunus americana that may have antioxidant activity when applied topically (Source:...,Good,3.0
1289,plum seed oil,"antioxidants, plant extracts, emollients","Plum (Prunus domestica) seed oil, also known as plum kernel oil, is non-fragrant oil…",Best,5.0
1290,pogostemon cablin,"plant extracts, fragrance: synthetic and fragrant plant extracts",,Poor,-1.0
1291,poloxamer 184,cleansing agents,A synthetic polymer that functions as a cleansing agent.,Good,3.0
1292,poloxamer 407,cleansing agents,Liquid polymer that functions as a surfactant. This ingredient can also keep unlike ingredients...,Good,3.0
1293,poloxamers,cleansing agents,,Good,3.0
1294,polyacrylamide,texture enhancer,,Good,3.0
1295,polyacrylate-17,texture enhancer,,Good,3.0
1296,polyacrylate crosspolymer,"film-forming agents, texture enhancer",,Good,3.0
1297,polyacrylate crosspolymer-6,thickeners/emulsifiers,Polyacrylate crosspolymer-6 is a synthetic powder ingredient that stabilizes and thickens water-based emulsions.,Good,3.0
1298,polyaminopropyl biguanide,preservatives,Synthetic polymer that functions as a preservative.,Good,3.0
1299,polybutene,texture enhancer,Polymer derived from mineral oil and used as a thickener and lubricant.,Good,3.0
1300,polyethylene,"thickeners/emulsifiers, emollients, scrub agents",A form of plastic (synthetic polymer) that has numerous functions in cosmetic products. Rounded...,Good,3.0
1301,polyethylene glycol,"texture enhancer, scrub agents","Also listed as PEG on ingredient labels, polyethylene glycol is an ingredient that self-proclaimed...",Good,3.0
1302,polyglucuronic acid,texture enhancer,,Good,3.0
1303,polyglycerol monostearate,"texture enhancer, emollients",Used as an emollient and thickening agent in cosmetics.,Good,3.0
1304,polyglyceryl-10 caprylate/caprate,"cleansing agents, thickeners/emulsifiers, texture enhancer",Polyglyceryl-10 caprylate/caprate is a single ester created from polymers and glycerin used in skin care as an emulsifier or solvent.,Good,3.0
1305,polyglyceryl-10 dioleate,"emulsifiers, hydration","Polyglyceryl-10 dioleate is a mixture of the fatty acid esters of oleic acid and a polymer, polyglycerin-10, which functions as a hydrator and emulsifier.",Good,3.0
1306,polyglyceryl-10 laurate,"emulsifiers, cleansing agents, skin-softening",A plant-derived or synthetic ester of lauric acid and the synthetic polymer polyglycerin-10.,Good,3.0
1307,polyglyceryl-10 stearate,"cleansing agents, emollients, emulsifiers",Polyglyceryl-10 stearate is the ester of stearic acid with a glycerin polymer that functions as a skin-softener and emollient ingredient.,Good,3.0
1308,polyglyceryl 2 triisostearate,"texture enhancer, emollients",A mixture of the fatty acid Isostearic acid and a form of glycerin that functions as a...,Good,3.0
1309,polyglyceryl-3 beeswax,"texture enhancer, cleansing agents",The ester of fatty acids from beeswax and polyglycerin-3 that functions as a surfactant and...,Good,3.0
1310,polyglyceryl-3 methylglucose distearate,"texture enhancer, emollients",,Good,3.0
1311,polyglyceryl-3 rice branate,"emulsifiers, cleansing agents",An ingredient that serves as a surfactant and emulsifier and is a derivative of the fatty acids that come from rice bran oil.,Best,5.0
1312,polyglyceryl-3 stearate,"emollients, emulsifiers","Polyglyceryl-3 stearate is the ester of the fatty acid stearic acid and polyglycerin-3, which is a polymer of glycerin that contains three units.",Good,3.0
1313,polyglyceryl-4 isostearate,"cleansing agents, emollients",The ester of isostearic acid and polyglycerin-4 that functions as an emollient and can also be a...,Good,3.0
1314,polyglyceryl-4 laurate,"emulsifiers, emollients","Polyglyceryl-4 laurate works as an emollient, emulsifier, and a cleansing agent",Good,3.0
1315,polyglyceryl-4 olivate,"emollients, emulsifiers",Polyglyceryl-4 olivate is the plant-derived or synthetic ester of olive oil and polyglycerin.,Best,5.0
1316,polyglyceryl-6 isostearate,emollients,The ester of isostearic acid and a form of glycerin. Functions as an emollient and an emulsifier in...,Good,3.0
1317,polyglyceryl methacrylate,texture enhancer,,Good,3.0
1318,polygonum cuspidatum root extract,"antioxidants, plant extracts",Polygonum cuspidatum root extract is a plant whose root is a good source of the potent polyphenolic antioxidant trans-resveratrol.,Best,5.0
1319,polyhydroxy acid,exfoliant,Ingredients such as gluconolactone and lactobionic acid are types of polyhydroxy acid (PHA). They...,Best,5.0
1320,polyhydroxystearic acid,uncategorized,Synthetic polymer related to stearic acid. It functions as a suspending agent.,Good,3.0
1321,polyisobutene,texture enhancer,A polymer of the hydrocarbon isobutylene obtained from petroleum oil. It functions as a thickening...,Good,3.0
1322,polymer,uncategorized,A word that literally means “many parts.” Any of numerous compounds having a high molecular weight...,Good,3.0
1323,polymethylsilsesquioxane,"silicones, emollients, texture enhancer",A polymer formed from the condensation and hydrolysis of the silicone methyltrimethoxysilane.,Good,3.0
1324,polypropylene glycol,uncategorized,"Also known by the acronym PPG, polypropylene glycol is...",Good,3.0
1325,polyquaternium-10,texture enhancer,,Good,3.0
1326,polyquaterniums,texture enhancer,Group of ingredients used primarily in hair-care products for their antistatic and film-forming...,Good,3.0
1327,polysaccharide,"antioxidants, skin-replenishing",Natural component of skin that can be a good water-binding agent and potentially have antioxidant...,Best,5.0
1328,polysilicone-11,"silicones, texture enhancer","Specialized, synthetic crosslinked siloxane that functions as a film-forming agent and polymer.",Good,3.0
1329,polysorbate 20,cleansing agents,,Good,3.0
1330,polysorbate 60,cleansing agents,,Good,3.0
1331,polysorbate 80,cleansing agents,,Good,3.0
1332,polysorbates,cleansing agents,"Large group of ingredients most often derived from lauric acid, which is derived from coconuts....",Good,3.0
1333,polyvinyl alcohol,texture enhancer,"A synthetic polymer of vinyl alcohol that functions in cosmetics as a gel-based thickener, film-forming, and binding agent.",Average,1.0
1334,polyvinylpyrrolidone,texture enhancer,"Usually listed on ingredient labels as PVP or PVP copolymer, it is one of the primary ingredients...",Good,3.0
1335,pomegranate extract,"antioxidants, plant extracts","Pomegranate and its extracts have antioxidant properties that, while not conclusively demonstrated on human skin",Best,5.0
1336,pongamia glabra seed oil,"antioxidants, emollients","Oil derived from the seeds of the Millettia pinnata tree, a plant native to South and Southeast Asia...",Best,5.0
1337,poria cocos extract,"skin-soothing, antioxidants, plant extracts","Also known as Hoelen and Fu ling. Extract derived from a mushroom, which has antioxidant and...",Best,5.0
1338,porphyridium cruentum extract,plant extracts,Extract derived from a type of red algae. There is research showing components of red algae contain...,Average,1.0
1339,portulaca oleracea extract,"skin-soothing, plant extracts",Extract that may have soothing properties...,Best,5.0
1340,potassium,"plant extracts, absorbent",Important element in diet that is present in such fruits as bananas and citrus. It is also an earth...,Good,3.0
1341,potassium ascorbyl tocopheryl phosphate,"antioxidants, vitamins",Blend of vitamins C and E with phosphorus that functions as an antioxidant.,Best,5.0
1342,potassium azeloyl diglycinate,"skin-soothing, antioxidants","A water soluble derivative of azelaic acid, potassium azeloyl diglycinate is believed to convey many of the same benefits as pure azelaic acid.",Best,5.0
1343,potassium cetyl phosphate,cleansing agents,Used as a detergent cleansing agent.,Good,3.0
